@RELATION vs
@ATTRIBUTE char1 NUMERIC
@ATTRIBUTE char2 NUMERIC
@ATTRIBUTE char3 NUMERIC
@ATTRIBUTE char4 NUMERIC
@ATTRIBUTE char5 NUMERIC
@ATTRIBUTE char6 NUMERIC
@ATTRIBUTE char7 NUMERIC
@ATTRIBUTE char8 NUMERIC
@ATTRIBUTE char9 NUMERIC
@ATTRIBUTE char10 NUMERIC
@ATTRIBUTE char11 NUMERIC
@ATTRIBUTE class        {c1,c2}
@DATA
3.157653,1.091174,0.014240,0.614346,17.999720,43.202705,121.172554,268.694763,140.975952,79.979088,1.475888,c1
2.710079,0.741523,0.281195,0.772495,19.699259,210.764664,182.814423,136.513916,72.231712,52.624649,0.951455,c1
2.069244,3.947125,0.344563,0.328530,18.563263,26.041166,51.820534,149.429733,182.339142,135.183716,0.585772,c1
2.340269,0.454881,0.290002,0.551110,17.024609,67.163544,141.832779,234.323654,66.898827,128.541718,1.432409,c1
2.038304,0.393283,0.534000,0.796860,16.246908,73.816231,171.749893,318.106567,77.191917,32.523800,2.669053,c1
2.244549,0.055193,0.228880,0.566844,17.563498,31.992365,74.777199,229.871933,174.275040,89.845909,1.028826,c1
1.772688,0.362998,0.614424,0.821696,19.289028,82.074303,154.987106,290.124084,97.326691,19.323244,2.239844,c1
1.706775,0.235715,0.723253,0.601896,11.817402,47.426720,109.933334,259.442230,159.820877,83.329948,1.271177,c1
1.739332,0.329272,0.703100,0.797249,17.057335,64.391243,207.094818,286.846558,76.763351,32.097843,2.850992,c1
2.973721,1.125189,0.011543,0.674945,20.821934,55.049461,94.208092,302.455505,175.594635,45.073898,1.438657,c1
2.608683,0.819704,0.468140,0.671623,17.516132,41.948906,108.247025,286.454163,122.541283,60.270298,1.756097,c1
1.719818,0.020889,0.564095,0.706211,16.569880,26.868176,102.537903,277.400604,123.904587,44.400085,1.946677,c1
2.190401,0.554057,0.378967,0.649369,22.749245,18.028334,71.114899,327.971466,157.683655,64.692825,1.660060,c1
2.497462,0.625986,0.363732,0.712778,20.605289,58.301289,156.765091,269.945831,89.204903,67.072540,1.988598,c1
2.579818,0.963404,0.349098,0.801882,20.735073,62.893135,170.409897,341.410919,105.989410,24.400450,2.648039,c1
3.585984,1.500193,0.045107,0.772702,18.554518,64.560066,108.749969,324.436829,117.951080,28.187174,2.055958,c1
1.951734,0.091497,0.674135,0.625356,20.838690,22.701361,76.246048,301.851898,186.439117,78.007538,1.316735,c1
2.548229,0.852358,0.429518,0.710344,19.574903,75.921448,174.112152,255.796295,96.571709,53.919285,1.898785,c1
2.485390,0.567182,0.310095,0.469165,12.204729,19.139040,58.658394,276.623566,144.843521,129.586151,1.142090,c1
2.542077,0.819090,0.431140,0.621721,19.237499,43.045063,106.351364,225.582153,147.438644,65.792053,1.295220,c1
2.048888,0.361341,0.524570,0.723039,18.076445,56.789276,111.742172,296.392181,159.567291,41.412212,1.583335,c1
2.260097,0.603598,0.590036,0.717888,17.478277,96.005379,146.294617,240.595535,101.570580,54.895126,1.532414,c1
1.940591,0.017424,0.548623,0.484163,14.329074,29.888371,64.196587,202.593338,232.224884,96.597183,0.743747,c1
2.180796,0.552385,0.517114,0.622567,16.257137,57.940250,99.943565,203.952042,176.754120,65.445755,1.012512,c1
2.539051,0.787946,0.495026,0.594580,18.902206,40.859730,69.243736,226.191513,174.483353,83.116470,0.989867,c1
2.529978,0.756745,0.434010,0.687980,21.751181,46.191357,106.331451,299.720764,161.534805,52.560459,1.560019,c1
2.554812,0.764947,0.489929,0.490302,13.292382,16.244518,44.314899,211.896011,184.414047,100.828545,0.849824,c1
2.513660,0.574881,0.361711,0.352823,16.419706,69.766052,107.403976,178.376266,98.806854,207.151352,0.760612,c1
2.073503,0.302072,0.546332,0.603541,17.771677,66.494507,138.389862,198.783875,113.978088,107.821861,1.169546,c1
2.056486,0.068135,0.372697,0.449629,16.050674,36.183395,94.059853,147.835938,232.974960,148.028809,0.579826,c1
2.167918,0.493566,0.449016,0.642337,18.143127,65.358963,112.618721,225.976364,124.527008,75.888832,1.273992,c1
1.964871,0.141382,0.581826,0.645847,17.662605,84.428375,177.620331,230.133270,120.847130,89.622734,1.382692,c1
2.459627,0.573191,0.329900,0.492845,18.484385,79.482170,130.723907,163.503448,156.642822,152.394012,0.757305,c1
2.476498,0.653082,0.202755,0.716088,16.297789,72.796463,172.063614,272.748840,106.538933,61.511402,1.846869,c1
3.481489,1.467963,0.241238,0.879122,22.041792,100.465462,203.129944,287.136139,44.005035,14.381846,3.086301,c1
2.248070,0.641621,0.462353,0.782635,21.432625,89.798950,176.592102,281.508057,105.432190,31.565565,2.019871,c1
2.216021,0.395925,0.528775,0.214702,11.624048,24.446545,39.736721,216.616501,163.359253,250.615295,0.584719,c1
2.144251,0.348010,0.526638,0.200439,9.961436,12.317056,32.712082,216.086334,164.626434,275.629730,0.549742,c1
2.108680,0.400141,0.544153,0.611369,21.401432,110.952881,138.810043,219.222336,97.215065,110.490852,1.123560,c1
2.289244,0.525739,0.488487,0.744296,16.155792,72.236771,140.047791,298.536377,114.657593,44.518154,1.895248,c1
2.844780,0.097545,0.098534,0.665421,18.322737,68.501808,119.952789,213.584000,126.294579,65.119331,1.283250,c1
2.207298,0.283810,0.474491,0.215918,11.011690,34.141510,73.131210,176.336578,124.531960,257.715576,0.599122,c1
2.247166,0.528037,0.378054,0.682253,15.069575,88.967995,158.966705,263.207916,81.445595,80.922997,1.679718,c1
2.818578,1.071940,0.389235,0.462016,16.689632,60.092716,118.916847,160.164932,153.772324,142.830017,0.782410,c1
2.400114,0.641170,0.481029,0.730599,11.410316,136.735413,179.265518,189.252045,110.789932,50.436512,1.236794,c1
1.955273,0.365221,0.529887,0.653673,18.216408,31.121315,135.632141,217.889740,113.225815,69.830582,1.650601,c1
2.729156,0.963153,0.317906,0.777961,19.957001,134.472488,218.128647,147.249832,74.222595,50.654793,1.408825,c1
2.201934,0.523211,0.601054,0.784134,15.145084,123.322708,212.383224,232.095810,76.948616,39.955456,1.850248,c1
2.286175,0.409319,0.426561,0.640568,14.705434,81.968353,170.632904,228.856827,86.733849,98.374771,1.495785,c1
2.486102,0.750180,0.500041,0.690298,18.125986,91.989182,174.228287,211.576691,111.594696,69.579781,1.412358,c1
1.593120,0.224486,0.760294,0.634659,16.772488,119.068871,142.168594,126.942490,199.089783,61.007187,0.709745,c1
2.578784,0.893419,0.294075,0.802909,17.704487,80.627983,182.681564,294.783722,75.698387,38.111511,2.455619,c1
2.830825,1.016308,0.418796,0.734911,19.492077,102.073196,154.581802,214.252457,115.131241,52.604694,1.367019,c1
2.925207,1.074161,0.255223,0.643219,16.253860,95.859467,166.188934,187.010468,100.146500,80.118851,1.279130,c1
1.933666,0.284569,0.596099,0.688237,18.128609,61.906803,116.194130,316.720551,96.886589,57.415916,2.002294,c1
2.269052,0.537400,0.508845,0.688069,16.829447,118.407738,181.039673,172.176224,128.793396,58.531231,1.155311,c1
2.398556,0.578645,0.367466,0.015017,17.945471,49.267410,81.289650,51.682480,104.882416,303.155182,0.290773,c2
3.909794,0.921558,0.021358,0.236293,20.724791,16.158812,26.270531,50.504356,108.325928,461.463928,0.131027,c2
4.888592,2.043460,1.213187,0.076800,15.781013,19.336437,32.964642,75.331650,144.704102,358.054169,0.207427,c2
6.432889,3.113809,1.116663,0.781432,9.851935,90.294548,143.635498,135.768112,25.228544,50.330410,1.684641,c2
5.702912,2.440234,2.003056,0.661030,9.021203,47.320354,136.602432,196.749359,73.628334,70.820496,1.738297,c2
4.295495,1.629922,0.330988,0.236734,15.807579,6.856280,20.210747,60.020695,101.943604,423.622803,0.150691,c2
5.372245,2.647227,2.700141,0.406165,8.002990,32.711018,94.409637,178.661041,81.799957,192.156937,0.890444,c2
5.000255,1.836684,1.292798,0.385543,19.045450,5.038333,12.379673,39.332424,104.659119,461.774231,0.090489,c2
5.768213,2.341475,1.813760,0.211239,19.893225,12.669607,24.444813,77.577599,139.989288,402.253387,0.183853,c2
2.517609,0.833091,0.348056,0.020548,18.776676,39.315434,83.570221,88.822296,60.907135,324.173157,0.406207,c2
5.216321,2.093507,0.001768,0.577717,21.343805,2.440094,4.464659,18.823679,37.826767,572.580444,0.038000,c2
4.978694,2.030810,1.421907,0.380856,17.184395,7.224663,18.747585,39.489491,91.417572,459.858582,0.104274,c2
2.085136,0.123971,0.250521,0.273960,9.304773,34.832966,70.771652,102.078171,46.118427,159.138214,0.719939,c2
5.252749,2.328797,0.571076,0.251124,13.057565,59.800385,59.098606,182.515854,150.503632,248.458282,0.526666,c2
2.545051,0.319276,0.196868,0.088247,14.076614,24.983641,54.137352,128.654419,85.793503,327.750793,0.416830,c2
5.624434,2.706684,0.036222,0.198112,18.641554,33.909836,55.851418,141.549072,182.268524,249.810303,0.423616,c2
4.713778,1.418380,0.017134,0.394255,15.068900,113.369949,109.964729,165.792877,93.186028,180.372787,0.712683,c2
5.445131,2.532943,2.083185,0.175567,17.728270,41.071068,58.624947,166.912674,127.093201,277.112732,0.506511,c2
2.810311,0.643262,0.012901,0.160956,20.084784,13.570757,36.646568,81.593185,94.594490,402.202820,0.231675,c2
1.807836,2.285003,0.480732,0.051502,16.575424,40.701630,61.526894,121.446968,95.571739,293.643494,0.425603,c2
2.060987,0.450436,0.510383,0.203115,15.577867,10.837370,19.870338,97.955963,81.268036,471.713318,0.208979,c2
3.950103,1.579922,0.199505,0.106658,6.133562,15.659306,31.766979,112.084198,153.377548,398.119141,0.253636,c2
3.103397,1.170842,0.140961,0.525463,7.986687,88.394676,95.276772,111.560181,51.150818,125.451393,0.780526,c2
5.981798,2.865735,0.363573,0.531727,13.794879,65.535912,82.366302,238.149521,167.756866,139.544678,0.859666,c2
5.558308,2.237993,1.899277,0.159293,14.241376,19.844868,40.796612,144.775497,211.956787,284.702850,0.359285,c2
3.567083,1.270108,0.169015,0.314057,6.751632,53.786167,67.628395,172.235840,119.776276,209.100723,0.626829,c2
2.139081,0.158780,0.483196,0.421061,5.813858,71.092186,109.336372,167.714752,87.390984,122.636345,0.985528,c2
4.363761,0.855275,0.042984,0.112816,19.174566,22.551350,49.325645,117.243500,144.510483,305.154968,0.352739,c2
4.565718,1.982501,1.198671,0.038337,19.525539,14.284355,27.192505,67.889534,188.507843,267.730103,0.202078,c2
6.094829,2.888035,0.371453,0.330781,10.463931,41.321499,100.283440,111.442680,180.566299,195.378448,0.507413,c2
2.580772,0.024030,0.231454,0.338296,19.961578,17.948715,50.489674,167.162079,221.201294,180.380554,0.518798,c2
3.324161,1.147487,0.191612,0.267592,14.727906,49.856037,101.348824,111.722244,165.399796,241.178024,0.466817,c2
5.904623,2.801722,2.418963,0.417019,12.724705,89.791649,181.468231,106.858170,70.215141,198.303864,0.804683,c2
4.805634,1.993415,1.233045,0.036183,23.236820,13.242472,24.607328,60.050934,186.292801,326.236237,0.161017,c2
5.422201,2.630289,1.374178,0.316668,15.089873,81.072189,99.440186,149.040756,121.021072,232.095825,0.572287,c2
4.985498,2.129505,1.653509,0.133420,15.991527,61.576954,78.622536,75.077682,140.776840,253.925873,0.336855,c2
2.907710,0.656246,0.163468,0.321235,9.941589,64.431061,120.977524,157.330887,55.172363,207.220413,0.851555,c2
6.074970,2.456660,0.007893,0.546773,11.612024,81.991577,195.236450,168.955872,85.888252,134.374252,1.204921,c2
2.969050,0.879972,0.140689,0.177040,18.106464,43.316063,87.335327,127.063042,149.856888,274.348267,0.458585,c2
4.665082,1.700794,1.020322,0.412537,19.059006,127.099953,159.786682,106.572739,73.490196,164.555008,0.729462,c2
4.369639,1.628316,0.075404,0.212140,13.375463,4.764819,11.723389,63.643703,101.741844,364.045990,0.160167,c2
1.661652,1.029982,0.590647,0.095742,15.176122,64.597908,76.405586,87.279327,81.988594,301.044067,0.365670,c2
5.229314,2.537483,2.197260,0.020957,11.091780,25.790947,38.835785,112.562096,146.207687,347.708893,0.291314,c2
4.106576,1.656560,0.139352,0.597110,21.867386,10.856806,18.403160,18.930063,33.223824,580.907898,0.059734,c2
3.050156,1.009974,0.195157,0.416779,18.533171,9.193661,21.777885,67.378304,38.798912,490.261627,0.165640,c2
5.230214,0.744988,1.861443,0.370200,13.291686,63.491005,90.564194,111.225555,120.261871,178.628357,0.556844,c2
3.012296,0.958430,0.175221,0.500480,8.898254,103.041939,173.874542,177.135559,50.052372,147.102356,1.169267,c2
2.462076,0.875755,0.527997,0.404660,6.163161,47.751095,114.421738,179.457733,53.855282,133.547165,1.249734,c2
3.072729,0.602720,0.113947,0.248947,12.701820,23.663242,42.301945,148.151169,232.578217,222.880264,0.397505,c2
4.789919,1.946393,0.213689,0.246427,10.628626,56.272877,85.053345,122.161827,165.958344,251.857971,0.437081,c2
4.135763,1.723548,0.111740,0.033777,10.056975,15.263209,19.812134,75.524109,211.912308,340.225098,0.168023,c2
3.513825,0.200052,0.306920,0.041433,19.568745,9.622320,20.917645,101.478485,193.901337,311.575012,0.237617,c2
5.303763,2.563047,0.798608,0.261265,8.689045,36.661457,93.724434,179.675766,140.772308,235.552856,0.662007,c2
2.189101,0.606704,0.440782,0.541129,14.194753,94.169479,111.122742,191.125153,139.082138,121.160301,0.852815,c2
2.970625,0.703332,0.145868,0.283420,9.694221,47.486649,103.539505,166.101303,123.204193,223.326111,0.684338,c2
